symbol,timestamp,open,high,low,close,volume,trade_count,vwap
TSLA,2026-06-29 22:45:00+00:00,409.31,409.34,409.06,409.06,7805.0,295.0,409.239017
TSLA,2026-06-29 22:50:00+00:00,409.06,409.23,408.87,409.14,25182.0,624.0,409.054851
TSLA,2026-06-29 22:55:00+00:00,409.16,409.24,408.6147,408.83,12963.0,395.0,408.916111
TSLA,2026-06-29 23:00:00+00:00,409.0,409.0,408.77,408.83,10237.0,353.0,408.857394
TSLA,2026-06-29 23:05:00+00:00,408.815,408.93,408.6499,408.81,11428.0,355.0,408.770594
TSLA,2026-06-29 23:10:00+00:00,408.84,409.19,408.84,408.9857,11017.0,406.0,409.046338
TSLA,2026-06-29 23:15:00+00:00,408.91,408.91,408.44,408.52,9585.0,329.0,408.786611
TSLA,2026-06-29 23:20:00+00:00,408.7,408.774,408.51,408.5391,6448.0,289.0,408.588343
TSLA,2026-06-29 23:25:00+00:00,408.54,408.8609,408.52,408.8609,10161.0,282.0,408.664604
TSLA,2026-06-29 23:30:00+00:00,408.87,409.5,408.84,409.43,9287.0,362.0,409.167387
TSLA,2026-06-29 23:35:00+00:00,409.48,409.48,408.9001,409.0,5680.0,254.0,409.19303
TSLA,2026-06-29 23:40:00+00:00,408.9908,409.33,408.9908,409.1,6927.0,254.0,409.079399
TSLA,2026-06-29 23:45:00+00:00,409.1,409.18,409.0,409.1065,9884.0,286.0,409.116492
TSLA,2026-06-29 23:50:00+00:00,409.1065,409.15,409.0,409.0,4891.0,193.0,409.07293
TSLA,2026-06-29 23:55:00+00:00,409.035,409.09,408.87,409.0,12031.0,324.0,408.992966
TSLA,2026-06-30 08:00:00+00:00,409.6,412.3,409.19,409.41,124143.0,6697.0,410.850225
TSLA,2026-06-30 08:05:00+00:00,409.26,412.0,409.26,409.5,7198.0,495.0,409.76227
TSLA,2026-06-30 08:10:00+00:00,409.86,409.96,409.34,409.44,5247.0,216.0,409.711011
TSLA,2026-06-30 08:15:00+00:00,409.4,409.56,408.95,409.56,10219.0,411.0,409.161625
TSLA,2026-06-30 08:20:00+00:00,409.31,409.48,409.0,409.27,7315.0,253.0,409.207105
TSLA,2026-06-30 08:25:00+00:00,409.42,409.56,409.22,409.47,4337.0,174.0,409.441465
TSLA,2026-06-30 08:30:00+00:00,409.38,409.4,408.6,408.85,15634.0,227.0,408.964895
TSLA,2026-06-30 08:35:00+00:00,408.67,408.8,408.0,408.12,11043.0,342.0,408.386329
TSLA,2026-06-30 08:40:00+00:00,408.02,408.02,407.66,407.75,13643.0,692.0,407.872661
TSLA,2026-06-30 08:45:00+00:00,407.83,408.04,407.6,407.68,7574.0,276.0,407.885755
TSLA,2026-06-30 08:50:00+00:00,407.73,407.98,407.54,407.98,6163.0,294.0,407.77367
TSLA,2026-06-30 08:55:00+00:00,407.9,408.25,407.9,408.14,2005.0,121.0,408.078646
TSLA,2026-06-30 09:00:00+00:00,408.1,408.2,408.0,408.2,3275.0,191.0,408.107633
TSLA,2026-06-30 09:05:00+00:00,408.2134,408.4,408.03,408.05,7767.0,194.0,408.208037
TSLA,2026-06-30 09:10:00+00:00,408.1,408.3,408.0444,408.26,3059.0,154.0,408.182179
TSLA,2026-06-30 09:15:00+00:00,408.34,408.7,408.32,408.65,10378.0,280.0,408.606337
TSLA,2026-06-30 09:20:00+00:00,408.46,408.8134,408.46,408.56,2538.0,148.0,408.619601
TSLA,2026-06-30 09:25:00+00:00,408.56,408.56,408.12,408.26,3115.0,167.0,408.386717
TSLA,2026-06-30 09:30:00+00:00,408.109,408.17,407.75,407.85,3686.0,186.0,407.981654
TSLA,2026-06-30 09:35:00+00:00,407.95,408.11,407.95,408.11,2342.0,105.0,408.041199
TSLA,2026-06-30 09:40:00+00:00,408.11,408.35,408.04,408.1,2556.0,142.0,408.137051
TSLA,2026-06-30 09:45:00+00:00,408.1,408.1,407.94,408.02,4063.0,161.0,408.038159
TSLA,2026-06-30 09:50:00+00:00,408.31,408.54,408.31,408.47,2496.0,134.0,408.440871
TSLA,2026-06-30 09:55:00+00:00,408.4,408.41,408.38,408.38,1182.0,66.0,408.39939
TSLA,2026-06-30 10:00:00+00:00,408.36,408.45,408.27,408.27,1674.0,98.0,408.338637
TSLA,2026-06-30 10:05:00+00:00,408.22,408.29,408.17,408.17,3355.0,115.0,408.247893
TSLA,2026-06-30 10:10:00+00:00,408.1,408.1,407.9626,408.08,2456.0,136.0,408.03331
TSLA,2026-06-30 10:15:00+00:00,408.24,408.5,408.2,408.41,4737.0,154.0,408.365267
TSLA,2026-06-30 10:20:00+00:00,408.36,408.4797,408.32,408.4797,2260.0,132.0,408.402655
TSLA,2026-06-30 10:25:00+00:00,408.45,408.45,408.35,408.37,1441.0,106.0,408.38782
TSLA,2026-06-30 10:30:00+00:00,408.35,408.4,408.02,408.1,4228.0,203.0,408.190869
TSLA,2026-06-30 10:35:00+00:00,408.1,408.34,407.94,408.34,4349.0,211.0,408.050719
TSLA,2026-06-30 10:40:00+00:00,408.2,408.91,408.2,408.69,4429.0,249.0,408.59747
TSLA,2026-06-30 10:45:00+00:00,408.69,409.38,408.6,409.32,6182.0,335.0,408.98192
TSLA,2026-06-30 10:50:00+00:00,409.3,409.39,409.06,409.21,10155.0,320.0,409.264332
TSLA,2026-06-30 10:55:00+00:00,409.1,409.45,409.0874,409.45,4275.0,90.0,409.405781
TSLA,2026-06-30 11:00:00+00:00,409.44,409.75,408.87,409.0,28151.0,837.0,409.316152
TSLA,2026-06-30 11:05:00+00:00,409.2,409.34,408.8,408.8,14390.0,335.0,409.121405
TSLA,2026-06-30 11:10:00+00:00,408.8,408.98,408.67,408.88,8321.0,294.0,408.789439
TSLA,2026-06-30 11:15:00+00:00,408.66,408.66,408.06,408.06,12712.0,456.0,408.357924
TSLA,2026-06-30 11:20:00+00:00,408.0,408.31,407.54,407.636,17274.0,675.0,407.961036
TSLA,2026-06-30 11:25:00+00:00,407.68,408.2436,407.52,408.0,12551.0,407.0,407.875746
TSLA,2026-06-30 11:30:00+00:00,408.09,408.19,407.72,407.9789,10024.0,364.0,407.91094
TSLA,2026-06-30 11:35:00+00:00,407.89,408.3,407.78,407.928,10809.0,326.0,408.023607
TSLA,2026-06-30 11:40:00+00:00,407.9,408.2033,407.9,408.0,5189.0,322.0,408.047178
TSLA,2026-06-30 11:45:00+00:00,407.95,408.43,407.8039,408.34,7938.0,427.0,408.104193
TSLA,2026-06-30 11:50:00+00:00,408.38,408.58,408.0,408.0286,18055.0,485.0,408.311971
TSLA,2026-06-30 11:55:00+00:00,408.04,408.1117,407.4,407.43,39508.0,750.0,407.646186
TSLA,2026-06-30 12:00:00+00:00,407.4383,407.71,406.68,406.99,30065.0,947.0,407.183959
TSLA,2026-06-30 12:05:00+00:00,406.88,407.18,406.5,406.97,17512.0,707.0,406.904495
TSLA,2026-06-30 12:10:00+00:00,406.99,407.2,406.32,406.5,19131.0,703.0,406.800191
TSLA,2026-06-30 12:15:00+00:00,406.52,406.67,406.32,406.4699,23713.0,632.0,406.496705
TSLA,2026-06-30 12:20:00+00:00,406.46,406.52,406.0289,406.06,34514.0,896.0,406.314945
TSLA,2026-06-30 12:25:00+00:00,406.12,406.2862,405.74,405.8999,34357.0,1010.0,406.015652
TSLA,2026-06-30 12:30:00+00:00,405.88,406.3,405.3071,406.14,38098.0,1141.0,405.821162
TSLA,2026-06-30 12:35:00+00:00,406.1335,406.22,405.81,406.1331,20743.0,702.0,406.055911
TSLA,2026-06-30 12:40:00+00:00,406.02,406.15,405.6,405.6336,21497.0,647.0,405.86104
TSLA,2026-06-30 12:45:00+00:00,405.6,405.87,405.0,405.42,38500.0,1110.0,405.441911
TSLA,2026-06-30 12:50:00+00:00,405.5,405.5,404.88,405.13,60269.0,1714.0,405.132105
TSLA,2026-06-30 12:55:00+00:00,405.07,405.07,404.4001,404.5,40818.0,1145.0,404.764587
TSLA,2026-06-30 13:00:00+00:00,404.53,405.0,404.35,404.913,29614.0,911.0,404.772982
TSLA,2026-06-30 13:05:00+00:00,404.91,405.15,404.75,404.9012,31230.0,991.0,404.93752
TSLA,2026-06-30 13:10:00+00:00,405.0,406.81,405.0,406.09,86458.0,1737.0,406.056445
TSLA,2026-06-30 13:15:00+00:00,406.35,406.4344,405.7912,405.9,20702.0,861.0,405.995917
TSLA,2026-06-30 13:20:00+00:00,405.9805,406.18,405.4,405.52,23046.0,944.0,405.867244
TSLA,2026-06-30 13:25:00+00:00,405.68,406.0,403.51,405.9,66791.0,2417.0,404.771768
TSLA,2026-06-30 13:30:00+00:00,406.0,410.6299,406.0,409.49,1503164.0,42112.0,408.325897
TSLA,2026-06-30 13:35:00+00:00,409.3775,412.33,408.95,411.4282,1125117.0,22338.0,410.863958
