symbol,timestamp,open,high,low,close,volume,trade_count,vwap
SPY,2026-06-30 23:20:00+00:00,746.12,746.23,746.0971,746.2,2348.0,68.0,746.181661
SPY,2026-06-30 23:25:00+00:00,746.199,746.27,746.03,746.09,2021.0,64.0,746.142551
SPY,2026-06-30 23:30:00+00:00,746.09,746.3,746.09,746.3,16223.0,132.0,746.208421
SPY,2026-06-30 23:35:00+00:00,746.31,746.33,746.28,746.33,1427.0,30.0,746.30701
SPY,2026-06-30 23:40:00+00:00,746.3373,746.34,746.22,746.22,2625.0,60.0,746.255412
SPY,2026-06-30 23:45:00+00:00,746.35,746.4,746.04,746.2383,1220.0,77.0,746.240912
SPY,2026-06-30 23:50:00+00:00,746.12,746.15,745.98,746.0209,1107.0,81.0,746.042773
SPY,2026-06-30 23:55:00+00:00,746.02,746.3,745.99,746.3,7219.0,88.0,746.110862
SPY,2026-07-01 08:00:00+00:00,744.53,745.2,743.0,743.57,164596.0,2842.0,744.136822
SPY,2026-07-01 08:05:00+00:00,743.91,745.1,743.04,744.21,11438.0,190.0,743.993515
SPY,2026-07-01 08:10:00+00:00,744.24,744.26,744.07,744.24,11784.0,116.0,744.140973
SPY,2026-07-01 08:15:00+00:00,744.2,744.41,744.2,744.33,5950.0,64.0,744.292471
SPY,2026-07-01 08:20:00+00:00,744.39,744.39,744.11,744.19,1349.0,52.0,744.235084
SPY,2026-07-01 08:25:00+00:00,744.269,744.34,744.09,744.12,2643.0,61.0,744.19077
SPY,2026-07-01 08:30:00+00:00,744.21,744.24,744.07,744.2,2070.0,59.0,744.137318
SPY,2026-07-01 08:35:00+00:00,744.33,744.36,744.24,744.36,2906.0,63.0,744.297705
SPY,2026-07-01 08:40:00+00:00,744.36,744.63,744.36,744.58,1521.0,47.0,744.545638
SPY,2026-07-01 08:45:00+00:00,744.5,744.55,744.39,744.4,1206.0,38.0,744.463744
SPY,2026-07-01 08:50:00+00:00,744.44,744.67,744.44,744.65,1966.0,45.0,744.495369
SPY,2026-07-01 08:55:00+00:00,744.65,744.67,744.59,744.67,339.0,21.0,744.636135
SPY,2026-07-01 09:00:00+00:00,744.69,744.69,744.25,744.25,1996.0,67.0,744.472991
SPY,2026-07-01 09:05:00+00:00,744.32,744.38,744.23,744.24,14241.0,161.0,744.295564
SPY,2026-07-01 09:10:00+00:00,744.24,744.4397,744.07,744.39,1558.0,44.0,744.247305
SPY,2026-07-01 09:15:00+00:00,744.38,744.41,744.37,744.37,512.0,17.0,744.384698
SPY,2026-07-01 09:20:00+00:00,744.44,744.45,744.36,744.44,2141.0,30.0,744.413857
SPY,2026-07-01 09:25:00+00:00,744.24,744.3,744.18,744.24,1295.0,30.0,744.216891
SPY,2026-07-01 09:30:00+00:00,744.34,744.53,744.27,744.51,583.0,27.0,744.389854
SPY,2026-07-01 09:35:00+00:00,744.55,744.55,744.44,744.53,661.0,18.0,744.515253
SPY,2026-07-01 09:40:00+00:00,744.48,744.55,744.47,744.49,786.0,23.0,744.485561
SPY,2026-07-01 09:45:00+00:00,744.57,744.7,744.57,744.62,761.0,26.0,744.618
SPY,2026-07-01 09:50:00+00:00,744.65,744.79,744.59,744.78,2746.0,72.0,744.721995
SPY,2026-07-01 09:55:00+00:00,744.8,744.89,744.77,744.89,1021.0,35.0,744.823366
SPY,2026-07-01 10:00:00+00:00,744.97,744.97,744.81,744.88,2025.0,46.0,744.863134
SPY,2026-07-01 10:05:00+00:00,744.8,744.81,744.62,744.71,1361.0,48.0,744.711049
SPY,2026-07-01 10:10:00+00:00,744.51,744.65,744.45,744.61,721.0,38.0,744.546575
SPY,2026-07-01 10:15:00+00:00,744.814,745.0,744.814,745.0,550.0,28.0,744.875696
SPY,2026-07-01 10:20:00+00:00,745.1,745.23,745.1,745.23,1248.0,40.0,745.185805
SPY,2026-07-01 10:25:00+00:00,745.22,745.3,745.21,745.26,2238.0,42.0,745.272686
SPY,2026-07-01 10:30:00+00:00,745.28,745.34,745.18,745.29,2668.0,46.0,745.254671
SPY,2026-07-01 10:35:00+00:00,745.34,745.37,745.29,745.35,3186.0,41.0,745.347028
